quiz_id,question_text,marks
1,What is a variable in Python?,2
1,What is the difference between a List and a Tuple?,2
1,What is a function in Python?,2
1,What is list comprehension?,2
1,What is exception handling?,2
2,What is a variable in Python?,2
2,What is the difference between a List and a Tuple?,2
2,What is a function in Python?,2
2,What is list comprehension?,2
2,What is exception handling?,2
3,What is a variable in Python?,2
3,What is the difference between a List and a Tuple?,2
3,What is a function in Python?,2
3,What is list comprehension?,2
3,What is exception handling?,2
4,What is a variable in Python?,2
4,What is the difference between a List and a Tuple?,2
4,What is a function in Python?,2
4,What is list comprehension?,2
4,What is exception handling?,2
5,What is a variable in Python?,2
5,What is the difference between a List and a Tuple?,2
5,What is a function in Python?,2
5,What is list comprehension?,2
5,What is exception handling?,2
6,What is a variable in Python?,2
6,What is the difference between a List and a Tuple?,2
6,What is a function in Python?,2
6,What is list comprehension?,2
6,What is exception handling?,2
7,What is a variable in Python?,2
7,What is the difference between a List and a Tuple?,2
7,What is a function in Python?,2
7,What is list comprehension?,2
7,What is exception handling?,2
8,What is a variable in Python?,2
8,What is the difference between a List and a Tuple?,2
8,What is a function in Python?,2
8,What is list comprehension?,2
8,What is exception handling?,2
9,What is a variable in Python?,2
9,What is the difference between a List and a Tuple?,2
9,What is a function in Python?,2
9,What is list comprehension?,2
9,What is exception handling?,2
10,What is a variable in Python?,2
10,What is the difference between a List and a Tuple?,2
10,What is a function in Python?,2
10,What is list comprehension?,2
10,What is exception handling?,2
11,What is a variable in Python?,2
11,What is the difference between a List and a Tuple?,2
11,What is a function in Python?,2
11,What is list comprehension?,2
11,What is exception handling?,2
12,What is a variable in Python?,2
12,What is the difference between a List and a Tuple?,2
12,What is a function in Python?,2
12,What is list comprehension?,2
12,What is exception handling?,2
13,What is a variable in Python?,2
13,What is the difference between a List and a Tuple?,2
13,What is a function in Python?,2
13,What is list comprehension?,2
13,What is exception handling?,2
14,What is a variable in Python?,2
14,What is the difference between a List and a Tuple?,2
14,What is a function in Python?,2
14,What is list comprehension?,2
14,What is exception handling?,2
15,What is a variable in Python?,2
15,What is the difference between a List and a Tuple?,2
15,What is a function in Python?,2
15,What is list comprehension?,2
15,What is exception handling?,2
16,What is a variable in Python?,2
16,What is the difference between a List and a Tuple?,2
16,What is a function in Python?,2
16,What is list comprehension?,2
16,What is exception handling?,2
17,What is a variable in Python?,2
17,What is the difference between a List and a Tuple?,2
17,What is a function in Python?,2
17,What is list comprehension?,2
17,What is exception handling?,2
18,What is a variable in Python?,2
18,What is the difference between a List and a Tuple?,2
18,What is a function in Python?,2
18,What is list comprehension?,2
18,What is exception handling?,2
19,What is a variable in Python?,2
19,What is the difference between a List and a Tuple?,2
19,What is a function in Python?,2
19,What is list comprehension?,2
19,What is exception handling?,2
20,What is a variable in Python?,2
20,What is the difference between a List and a Tuple?,2
20,What is a function in Python?,2
20,What is list comprehension?,2
20,What is exception handling?,2
21,What is a variable in Python?,2
21,What is the difference between a List and a Tuple?,2
21,What is a function in Python?,2
21,What is list comprehension?,2
21,What is exception handling?,2
22,What is a variable in Python?,2
22,What is the difference between a List and a Tuple?,2
22,What is a function in Python?,2
22,What is list comprehension?,2
22,What is exception handling?,2
23,What is a variable in Python?,2
23,What is the difference between a List and a Tuple?,2
23,What is a function in Python?,2
23,What is list comprehension?,2
23,What is exception handling?,2
24,What is a variable in Python?,2
24,What is the difference between a List and a Tuple?,2
24,What is a function in Python?,2
24,What is list comprehension?,2
24,What is exception handling?,2
25,What is a variable in Python?,2
25,What is the difference between a List and a Tuple?,2
25,What is a function in Python?,2
25,What is list comprehension?,2
25,What is exception handling?,2
26,What is a variable in Python?,2
26,What is the difference between a List and a Tuple?,2
26,What is a function in Python?,2
26,What is list comprehension?,2
26,What is exception handling?,2
27,What is a variable in Python?,2
27,What is the difference between a List and a Tuple?,2
27,What is a function in Python?,2
27,What is list comprehension?,2
27,What is exception handling?,2
28,What is a variable in Python?,2
28,What is the difference between a List and a Tuple?,2
28,What is a function in Python?,2
28,What is list comprehension?,2
28,What is exception handling?,2
29,What is a variable in Python?,2
29,What is the difference between a List and a Tuple?,2
29,What is a function in Python?,2
29,What is list comprehension?,2
29,What is exception handling?,2
30,What is a variable in Python?,2
30,What is the difference between a List and a Tuple?,2
30,What is a function in Python?,2
30,What is list comprehension?,2
30,What is exception handling?,2
31,What is a variable in Python?,2
31,What is the difference between a List and a Tuple?,2
31,What is a function in Python?,2
31,What is list comprehension?,2
31,What is exception handling?,2
32,What is a variable in Python?,2
32,What is the difference between a List and a Tuple?,2
32,What is a function in Python?,2
32,What is list comprehension?,2
32,What is exception handling?,2
33,What is a variable in Python?,2
33,What is the difference between a List and a Tuple?,2
33,What is a function in Python?,2
33,What is list comprehension?,2
33,What is exception handling?,2
34,What is a variable in Python?,2
34,What is the difference between a List and a Tuple?,2
34,What is a function in Python?,2
34,What is list comprehension?,2
34,What is exception handling?,2
35,What is a variable in Python?,2
35,What is the difference between a List and a Tuple?,2
35,What is a function in Python?,2
35,What is list comprehension?,2
35,What is exception handling?,2
36,What is a variable in Python?,2
36,What is the difference between a List and a Tuple?,2
36,What is a function in Python?,2
36,What is list comprehension?,2
36,What is exception handling?,2
37,What is a variable in Python?,2
37,What is the difference between a List and a Tuple?,2
37,What is a function in Python?,2
37,What is list comprehension?,2
37,What is exception handling?,2
38,What is a variable in Python?,2
38,What is the difference between a List and a Tuple?,2
38,What is a function in Python?,2
38,What is list comprehension?,2
38,What is exception handling?,2
39,What is a variable in Python?,2
39,What is the difference between a List and a Tuple?,2
39,What is a function in Python?,2
39,What is list comprehension?,2
39,What is exception handling?,2
40,What is a variable in Python?,2
40,What is the difference between a List and a Tuple?,2
40,What is a function in Python?,2
40,What is list comprehension?,2
40,What is exception handling?,2
41,What is a variable in Python?,2
41,What is the difference between a List and a Tuple?,2
41,What is a function in Python?,2
41,What is list comprehension?,2
41,What is exception handling?,2
42,What is a variable in Python?,2
42,What is the difference between a List and a Tuple?,2
42,What is a function in Python?,2
42,What is list comprehension?,2
42,What is exception handling?,2
43,What is a variable in Python?,2
43,What is the difference between a List and a Tuple?,2
43,What is a function in Python?,2
43,What is list comprehension?,2
43,What is exception handling?,2
44,What is a variable in Python?,2
44,What is the difference between a List and a Tuple?,2
44,What is a function in Python?,2
44,What is list comprehension?,2
44,What is exception handling?,2
45,What is a variable in Python?,2
45,What is the difference between a List and a Tuple?,2
45,What is a function in Python?,2
45,What is list comprehension?,2
45,What is exception handling?,2
46,What is a variable in Python?,2
46,What is the difference between a List and a Tuple?,2
46,What is a function in Python?,2
46,What is list comprehension?,2
46,What is exception handling?,2
47,What is a variable in Python?,2
47,What is the difference between a List and a Tuple?,2
47,What is a function in Python?,2
47,What is list comprehension?,2
47,What is exception handling?,2
48,What is a variable in Python?,2
48,What is the difference between a List and a Tuple?,2
48,What is a function in Python?,2
48,What is list comprehension?,2
48,What is exception handling?,2
49,What is a variable in Python?,2
49,What is the difference between a List and a Tuple?,2
49,What is a function in Python?,2
49,What is list comprehension?,2
49,What is exception handling?,2
50,What is a variable in Python?,2
50,What is the difference between a List and a Tuple?,2
50,What is a function in Python?,2
50,What is list comprehension?,2
50,What is exception handling?,2
51,What is a variable in Python?,2
51,What is the difference between a List and a Tuple?,2
51,What is a function in Python?,2
51,What is list comprehension?,2
51,What is exception handling?,2
52,What is a variable in Python?,2
52,What is the difference between a List and a Tuple?,2
52,What is a function in Python?,2
52,What is list comprehension?,2
52,What is exception handling?,2
53,What is a variable in Python?,2
53,What is the difference between a List and a Tuple?,2
53,What is a function in Python?,2
53,What is list comprehension?,2
53,What is exception handling?,2
54,What is a variable in Python?,2
54,What is the difference between a List and a Tuple?,2
54,What is a function in Python?,2
54,What is list comprehension?,2
54,What is exception handling?,2
55,What is a variable in Python?,2
55,What is the difference between a List and a Tuple?,2
55,What is a function in Python?,2
55,What is list comprehension?,2
55,What is exception handling?,2
56,What is a variable in Python?,2
56,What is the difference between a List and a Tuple?,2
56,What is a function in Python?,2
56,What is list comprehension?,2
56,What is exception handling?,2
57,What is a variable in Python?,2
57,What is the difference between a List and a Tuple?,2
57,What is a function in Python?,2
57,What is list comprehension?,2
57,What is exception handling?,2
58,What is a variable in Python?,2
58,What is the difference between a List and a Tuple?,2
58,What is a function in Python?,2
58,What is list comprehension?,2
58,What is exception handling?,2
59,What is a variable in Python?,2
59,What is the difference between a List and a Tuple?,2
59,What is a function in Python?,2
59,What is list comprehension?,2
59,What is exception handling?,2
60,What is a variable in Python?,2
60,What is the difference between a List and a Tuple?,2
60,What is a function in Python?,2
60,What is list comprehension?,2
60,What is exception handling?,2
61,What is a variable in Python?,2
61,What is the difference between a List and a Tuple?,2
61,What is a function in Python?,2
61,What is list comprehension?,2
61,What is exception handling?,2
62,What is a variable in Python?,2
62,What is the difference between a List and a Tuple?,2
62,What is a function in Python?,2
62,What is list comprehension?,2
62,What is exception handling?,2
63,What is a variable in Python?,2
63,What is the difference between a List and a Tuple?,2
63,What is a function in Python?,2
63,What is list comprehension?,2
63,What is exception handling?,2
64,What is a variable in Python?,2
64,What is the difference between a List and a Tuple?,2
64,What is a function in Python?,2
64,What is list comprehension?,2
64,What is exception handling?,2
65,What is a variable in Python?,2
65,What is the difference between a List and a Tuple?,2
65,What is a function in Python?,2
65,What is list comprehension?,2
65,What is exception handling?,2
66,What is a variable in Python?,2
66,What is the difference between a List and a Tuple?,2
66,What is a function in Python?,2
66,What is list comprehension?,2
66,What is exception handling?,2
67,What is a variable in Python?,2
67,What is the difference between a List and a Tuple?,2
67,What is a function in Python?,2
67,What is list comprehension?,2
67,What is exception handling?,2
68,What is a variable in Python?,2
68,What is the difference between a List and a Tuple?,2
68,What is a function in Python?,2
68,What is list comprehension?,2
68,What is exception handling?,2
69,What is a variable in Python?,2
69,What is the difference between a List and a Tuple?,2
69,What is a function in Python?,2
69,What is list comprehension?,2
69,What is exception handling?,2
70,What is a variable in Python?,2
70,What is the difference between a List and a Tuple?,2
70,What is a function in Python?,2
70,What is list comprehension?,2
70,What is exception handling?,2
71,What is a variable in Python?,2
71,What is the difference between a List and a Tuple?,2
71,What is a function in Python?,2
71,What is list comprehension?,2
71,What is exception handling?,2
72,What is a variable in Python?,2
72,What is the difference between a List and a Tuple?,2
72,What is a function in Python?,2
72,What is list comprehension?,2
72,What is exception handling?,2
73,What is a variable in Python?,2
73,What is the difference between a List and a Tuple?,2
73,What is a function in Python?,2
73,What is list comprehension?,2
73,What is exception handling?,2
